City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Taltal,CL,-25.4,-70.48,60.82,65,22,4.03,few clouds
1,Codrington,AU,-38.27,141.97,45.86,91,100,6.71,overcast clouds
2,Coquimbo,CL,-29.95,-71.34,55.4,82,75,10.29,broken clouds
3,Butaritari,KI,3.07,172.79,83.5,72,66,19.33,broken clouds
4,Atuona,PF,-9.8,-139.03,77.83,75,0,16.89,clear sky
5,Ushuaia,AR,-54.8,-68.3,44.6,71,20,18.34,few clouds
6,Rikitea,PF,-23.12,-134.97,73.72,81,0,11.65,clear sky
7,Port-Gentil,GA,-0.72,8.78,77.0,88,40,11.23,scattered clouds
8,Port Elizabeth,ZA,-33.92,25.57,55.4,71,0,25.28,clear sky
9,Bubaque,GW,11.28,-15.83,81.64,85,100,5.06,overcast clouds
10,Katsuura,JP,35.13,140.3,73.4,88,75,5.82,broken clouds
11,Norman Wells,CA,65.28,-126.83,44.6,70,90,6.93,overcast clouds
12,Vaitape,PF,-16.52,-151.75,79.2,73,3,11.65,clear sky
13,Punta Arenas,CL,-53.15,-70.92,44.6,65,75,29.97,broken clouds
14,Castro,BR,-24.79,-50.01,74.3,51,96,3.38,overcast clouds
15,New Norfolk,AU,-42.78,147.06,52.0,64,58,1.99,broken clouds
16,Busselton,AU,-33.65,115.33,52.0,68,0,8.12,clear sky
17,Antofagasta,CL,-23.65,-70.4,60.8,67,40,12.75,scattered clouds
18,Henties Bay,NA,-22.12,14.28,55.0,80,0,8.75,clear sky
19,Troitskoye,RU,52.98,84.68,49.84,74,67,4.72,broken clouds
20,Tura,IN,25.52,90.22,72.86,98,100,4.54,overcast clouds
21,Husavik,IS,66.04,-17.34,42.8,87,40,3.36,scattered clouds
22,Namibe,AO,-15.2,12.15,63.97,85,74,6.15,broken clouds
23,Lebu,CL,-37.62,-73.65,52.66,72,0,22.64,clear sky
24,Arraial Do Cabo,BR,-22.97,-42.03,78.8,73,0,10.29,clear sky
25,Yertarskiy,RU,56.79,64.3,51.75,67,100,7.11,overcast clouds
26,Khatanga,RU,71.97,102.5,46.15,82,82,2.68,broken clouds
27,Cidreira,BR,-30.18,-50.21,55.87,60,96,13.33,overcast clouds
28,Makakilo City,US,21.35,-158.09,84.2,58,1,8.05,clear sky
29,Hasaki,JP,35.73,140.83,69.8,94,40,4.7,scattered clouds
30,Chuy,UY,-33.7,-53.46,50.85,66,0,9.71,clear sky
31,La Rioja,ES,42.25,-2.5,73.4,56,67,7.11,broken clouds
32,La Ronge,CA,55.1,-105.28,48.2,81,90,5.82,overcast clouds
33,Port Hedland,AU,-20.32,118.57,64.4,45,0,7.87,clear sky
34,Bluff,NZ,-46.6,168.33,45.0,85,56,8.01,broken clouds
35,Vestmanna,FO,62.16,-7.17,44.6,93,96,2.24,overcast clouds
36,Shubarshi,KZ,48.59,57.19,61.72,44,100,17.31,overcast clouds
37,Sept-Iles,CA,50.2,-66.38,57.99,50,75,19.46,broken clouds
38,Qaanaaq,GL,77.48,-69.36,29.73,93,78,9.17,broken clouds
39,Tuatapere,NZ,-46.13,167.68,45.0,83,40,8.99,scattered clouds
40,Saint-Ambroise,CA,48.55,-71.33,55.4,50,75,21.92,broken clouds
41,Sabancuy,MX,18.97,-91.18,86.32,69,98,9.44,overcast clouds
42,Kui Buri,TH,12.08,99.85,77.83,85,98,1.68,overcast clouds
43,Roma,US,43.21,-75.46,64.4,45,40,10.29,scattered clouds
44,Provideniya,RU,64.38,-173.3,46.4,87,90,4.47,overcast clouds
45,Port Alfred,ZA,-33.59,26.89,56.89,66,0,16.13,clear sky
46,Wajir,KE,1.75,40.06,78.85,62,63,16.22,broken clouds
47,Bredasdorp,ZA,-34.53,20.04,46.4,81,4,4.7,clear sky
48,Kayasula,RU,44.33,45.0,67.77,51,0,5.61,clear sky
49,Vaini,TO,-21.2,-175.2,73.4,73,40,6.93,scattered clouds
50,Nikolskoye,RU,59.7,30.79,55.0,87,15,8.95,few clouds
51,Guerrero Negro,MX,27.98,-114.06,94.69,28,0,5.91,clear sky
52,San Patricio,MX,19.22,-104.7,89.6,66,75,13.87,broken clouds
53,Pacific Grove,US,36.62,-121.92,73.0,68,40,6.93,smoke
54,Belaya Gora,RU,68.53,146.42,42.24,79,15,9.19,few clouds
55,Jatai,BR,-17.88,-51.71,88.18,16,0,4.05,clear sky
56,Mataura,NZ,-46.19,168.86,45.0,85,13,8.01,few clouds
57,Hobyo,SO,5.35,48.53,78.04,84,3,28.86,clear sky
58,Neiafu,TO,-18.65,-173.98,77.0,65,20,9.17,few clouds
59,Lakes Entrance,AU,-37.88,147.98,39.0,95,9,7.02,clear sky
60,Mahibadhoo,MV,3.78,72.97,82.2,76,75,7.29,broken clouds
61,Kapaa,US,22.08,-159.32,82.4,74,90,14.99,overcast clouds
62,Acari,PE,-15.43,-74.62,71.69,46,92,7.92,overcast clouds
63,Teknaf,BD,20.86,92.31,80.2,89,100,7.2,overcast clouds
64,Iqaluit,CA,63.75,-68.51,37.4,73,75,9.17,broken clouds
65,Am Timan,TD,11.03,20.28,73.26,91,96,3.11,overcast clouds
66,Turayf,SA,31.67,38.66,87.8,23,0,9.17,clear sky
67,Kropotkin,RU,45.44,40.58,67.75,34,0,8.37,clear sky
68,Kota Bahru,MY,6.13,102.24,77.0,88,20,3.36,few clouds
69,Kaitangata,NZ,-46.28,169.85,50.0,55,2,7.0,clear sky
70,Hithadhoo,MV,-0.6,73.08,81.43,67,88,4.07,overcast clouds
71,Komsomolskiy,UZ,40.43,71.72,69.8,46,29,4.7,scattered clouds
