City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,83.5,broken clouds,3.07,172.79,Isles Sunset Lodge
4,Atuona,PF,77.83,clear sky,-9.8,-139.03,Villa Enata
7,Port-Gentil,GA,77.0,scattered clouds,-0.72,8.78,Fengshui Residence
9,Bubaque,GW,81.64,overcast clouds,11.28,-15.83,Casa Dora
12,Vaitape,PF,79.2,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
24,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Pousada Porto Praia
28,Makakilo City,US,84.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
41,Sabancuy,MX,86.32,overcast clouds,18.97,-91.18,Hotel Aguilar
42,Kui Buri,TH,77.83,overcast clouds,12.08,99.85,ริสต้า รีสอร์ท
46,Wajir,KE,78.85,broken clouds,1.75,40.06,Al- Amin lodge
52,San Patricio,MX,89.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
55,Jatai,BR,88.18,clear sky,-17.88,-51.71,La Vitre Hotel
57,Hobyo,SO,78.04,clear sky,5.35,48.53,Osmani Hotel
58,Neiafu,TO,77.0,few clouds,-18.65,-173.98,Mystic Sands
60,Mahibadhoo,MV,82.2,broken clouds,3.78,72.97,Omadhoo Inn
61,Kapaa,US,82.4,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
63,Teknaf,BD,80.2,overcast clouds,20.86,92.31,Magnum Engineering & Construction
66,Turayf,SA,87.8,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
68,Kota Bahru,MY,77.0,few clouds,6.13,102.24,Grand Riverview Hotel
70,Hithadhoo,MV,81.43,overcast clouds,-0.6,73.08,Scoop Guest House
75,Hilo,US,84.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
81,Araceli,PH,83.93,overcast clouds,10.55,119.99,JBryan Traveler's Inn
88,Puerto Ayora,EC,77.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
89,Kavieng,PG,82.9,light rain,-2.57,150.8,Nusa Island Retreat
93,Hamilton,US,79.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
94,Russell,US,89.6,few clouds,32.35,-85.2,Macs
98,Banjar,ID,75.2,few clouds,-8.19,114.97,The Hamsa Resort
111,Port Blair,IN,82.02,moderate rain,11.67,92.75,Fortune Resort Bay Island
115,Salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
121,Tacuati,PY,83.98,clear sky,-23.45,-56.58,
122,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
124,Praya,CV,79.97,overcast clouds,14.92,-23.51,LT Aparthotel
125,Marzuq,YE,81.79,few clouds,14.4,46.47,
126,Mountain Home,US,87.8,few clouds,43.13,-115.69,Mountain Home Inn
127,Kimbe,PG,78.01,light rain,-5.55,150.14,Kimbe Bay Hotel
128,Xiamen,CN,78.8,broken clouds,24.48,118.08,厦门马哥孛罗东方大酒店
135,Sterling,US,75.99,broken clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
139,Hope Mills,US,86.0,few clouds,34.97,-78.95,Holiday Inn Express & Suites Hope Mills-Fayetteville Arpt
140,Bandarbeyla,SO,79.45,broken clouds,9.49,50.81,REER XOOSHLE GROUP
141,Paracatu,BR,80.76,clear sky,-17.22,-46.87,Hotel Paracatu Plaza
148,La Brea,HN,86.47,broken clouds,15.8,-85.97,Hotel reynita
151,Georgetown,MY,78.8,heavy intensity rain,5.41,100.34,Cititel Penang
154,Gorontalo,ID,75.85,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
155,Bani,DO,89.6,broken clouds,18.28,-70.33,Hospedaje Henriquez
156,Tambopata,PE,88.36,scattered clouds,-12.73,-69.18,
158,Dicabisagan,PH,79.32,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
160,San Quintin,MX,82.22,clear sky,30.48,-115.95,Old Mill Hotel
163,Gerash,IR,80.6,clear sky,27.67,54.14,Chelpasin
164,Mandalay,MM,78.26,overcast clouds,21.97,96.08,Hotel Yadanarbon
175,North Bend,US,75.0,haze,43.41,-124.22,Red Lion Hotel Coos Bay
176,Sabang,ID,82.69,scattered clouds,5.89,95.32,Hotel Citra
177,Rawalpindi,PK,80.01,scattered clouds,33.6,73.07,Jungle Barracks
179,Biak,ID,75.67,overcast clouds,-0.91,122.88,Kost Ariz
183,Sao Joao Da Barra,BR,78.8,clear sky,-21.64,-41.05,Pousada Porto De Canoas
185,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
186,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
190,Mandera,KE,82.17,few clouds,3.94,41.87,Kornesh Hotel and Lodging
191,Bonthe,SL,77.74,light rain,7.53,-12.51,Bonthe Holiday Village
192,Alipur Chatha,PK,84.2,smoke,32.27,73.82,Tahir Buttiparlar
193,Balaghat,IN,77.36,overcast clouds,21.8,80.18,Hotel celebration
196,Mangrol,IN,81.03,broken clouds,21.12,70.12,Hotel The Royal Honours
197,Cockburn Town,TC,83.44,overcast clouds,21.46,-71.14,Osprey Beach Hotel
198,Sao Filipe,CV,79.56,overcast clouds,14.9,-24.5,Tortuga B&B
203,Wharton,US,90.0,broken clouds,29.31,-96.1,"Countryside Inn Wharton, TX"
204,Avera,US,89.6,scattered clouds,33.19,-82.53,
206,Sakakah,SA,87.8,broken clouds,29.97,40.21,Fakhamat Al Orjoana Apartment
211,Caucaia,BR,80.6,overcast clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
212,Lorengau,PG,82.76,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
214,Naze,JP,77.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
215,Marsh Harbour,BS,84.06,scattered clouds,26.54,-77.06,Abaco Beach Resort
217,Andros,GR,77.0,clear sky,37.83,24.93,Micra Anglia Hotel - Andros
218,Acarau,BR,78.6,overcast clouds,-2.89,-40.12,castelo pizzaria
219,Brignais,FR,80.6,clear sky,45.67,4.75,Hôtel Kyriad Lyon-Sud Saint-Genis-Laval
221,San Angelo,US,84.0,clear sky,31.46,-100.44,"Motel 6 San Angelo, TX"
224,Wiang Sa,TH,81.0,overcast clouds,8.64,99.37,ชำนาญอินน์
231,Daru,PG,76.77,overcast clouds,-9.08,143.21,New century hotel
234,Ishigaki,JP,83.8,scattered clouds,24.34,124.16,Hotel Peace Land Ishigakijima
235,Allahabad,IN,84.24,overcast clouds,25.45,81.85,Hotel Mandiram
237,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
240,Awjilah,LY,87.39,few clouds,29.11,21.29,
255,Kismayo,SO,77.43,broken clouds,-0.36,42.55,Agan-Hotel
256,Meulaboh,ID,76.91,overcast clouds,4.14,96.13,Kost Pria
259,Alizai,PK,77.56,clear sky,33.54,70.35,Alizai Rest House
263,Faanui,PF,78.31,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
